9110	4639	13139	13	14.red-80-36-40.staticip.rima-tde.net
7009	1652	23558	2	83.59.214.33
4007	2838	12952	14	gwauna.smsarena.net
3637	1637	7964	17	62.57.106.24
3455	1587	6131	12	83.59.214.102
3190	1006	6214	15	80.36.40.14
964	252	2116	2	201.236.137.183
913	540	4551	6	141.red-88-14-247.dynamicip.rima-tde.net
722	162	925	5	201.230.195.151
609	198	1125	8	62.57.29.63
539	92	808	1	88.3.109.183
520	80	605	2	83.38.186.19
508	188	1022	1	40.red-80-58-205.staticip.rima-tde.net
458	118	756	1	cm162144.red.mundo-r.com
425	136	806	1	190.64.4.32
423	423	2002	20	smsturmix.com
422	96	352	1	200.67.131.164
393	104	517	1	200.8.14.67
389	42	560	1	201-210-51-183.genericrev.cantv.net
369	169	741	1	dynamic-ip-cr200118212156.cable.net.co
341	74	620	1	83.52.99.67
336	153	605	0	127.red-83-32-31.dynamicip.rima-tde.net
334	178	753	1	200.5.72.71
314	53	488	2	190.7.62.202
286	286	1167	22	127.0.0.1
276	98	746	1	216.red-88-24-51.staticip.rima-tde.net
275	62	718	1	62.57.24.44.static.user.ono.com
268	89	353	1	190.73.115.57
262	262	1216	1	62.57.29.63.dyn.user.ono.com
255	17	213	1	189.172.114.142
249	76	552	1	88.8.146.213
247	77	299	1	83.46.100.4
246	69	225	1	190.24.72.252
237	27	395	1	88.24.240.110
231	96	605	1	189.142.61.164
229	63	406	1	host170.190-30-67.telecom.net.ar
228	91	233	1	dsl-201-120-150-246.prod-empresarial.com.mx
227	113	377	3	83.41.111.189
217	19	337	1	200.44.213.18
216	57	245	1	84.122.223.65
213	181	634	0	1.red-88-8-83.dynamicip.rima-tde.net
208	81	693	1	190.66.180.231
205	64	209	1	87.218.174.164
203	53	184	1	189.143.50.151
202	106	361	1	85.54.158.14
201	169	618	0	static-200-56-7-89.ipcom.comunitel.net
190	38	292	1	190.50.138.139
189	31	305	1	208.64.184.194
186	66	664	1	129-15-16-190.fibertel.com.ar
186	34	130	1	200.121.217.213
185	91	397	1	72.red-81-39-145.dynamicip.rima-tde.net
184	52	339	1	81.35.233.199
182	32	152	2	83.50.73.109
181	77	369	1	190.142.113.66
181	95	419	1	85.58.157.17
174	133	421	0	host162.201-253-45.telecom.net.ar
173	75	308	1	190.136.240.1
173	173	471	0	panscient
172	172	780	1	r201-217-164-163.dialup.adsl.anteldata.net.uy
167	15	32	3	80.58.205.35
163	52	607	0	190-82-249-19.adsl.cust.tie.cl
163	69	351	1	190.40.164.87
162	57	347	1	88.26.98.190
158	78	372	1	84.77.30.95
150	79	357	1	87.218.154.82
147	49	207	1	88.22.72.196
146	87	224	1	217.126.97.157
145	91	238	1	85.59.117.98
143	34	244	1	189.181.129.169
143	63	266	1	213.37.96.86
143	53	298	1	64.76.30.227
142	142	1627	1	client-190.40.34.199.speedy.net.pe
139	35	371	1	190.56.19.227
138	27	68	1	77.208.32.189
138	71	344	1	85.48.131.11
137	41	243	1	217.130.123.220
135	50	393	1	212.97.160.135
131	74	271	1	62.42.146.220
130	49	453	1	83.42.36.161
128	47	175	1	201.192.230.247
127	72	409	1	80.37.192.198
125	20	304	1	189.166.32.247
124	50	272	1	201.240.25.1
121	87	313	0	110.red-88-18-201.staticip.rima-tde.net
120	50	192	1	83.53.253.72
119	48	234	1	189.161.25.193
119	30	149	1	96.red-213-97-135.staticip.rima-tde.net
119	57	156	1	dsl-189-174-233-90.prod-infinitum.com.mx
118	33	199	1	190.30.0.128
118	31	179	1	83.49.51.178
117	36	189	1	190.22.46.155
117	29	143	1	89.7.56.200
116	50	184	1	200.68.91.69
116	34	231	1	83.54.134.207
115	55	146	1	80.36.128.51
115	48	172	1	87.219.216.235
115	29	147	2	88.0.250.194
115	39	111	1	89.128.69.181
115	93	1034	0	adsl-074-182-036-246.sip.owb.bellsouth.net
115	115	940	1	cm45185.red.mundo-r.com
112	59	229	0	180.red-83-49-106.dynamicip.rima-tde.net
111	65	236	1	190-39-146-230.dyn.dsl.cantv.net
111	73	528	0	196.red-83-61-237.staticip.rima-tde.net
111	56	299	1	80.33.234.194
109	32	206	1	80.32.24.72
108	55	143	1	189.167.183.151
106	33	292	1	62.97.65.250
105	73	184	1	237.pool85-48-192.static.orange.es
105	32	185	1	82.159.182.168
104	72	299	0	103.red-88-17-136.dynamicip.rima-tde.net
104	34	299	1	84.123.115.219
104	44	104	1	85.59.73.164
104	35	190	1	86.64.110.105
103	71	284	0	100.red-80-58-205.staticip.rima-tde.net
103	58	233	0	6.red-83-54-65.dynamicip.rima-tde.net
103	29	202	1	83.35.205.43
102	29	205	1	150.244.125.45
101	33	298	1	195.154.92.110
101	31	145	1	83.56.166.23
100	45	211	1	75.74.205.114
99	44	350	1	190.160.202.140
99	32	174	1	217.217.38.247
99	44	172	1	89.7.155.147
99	58	155	1	xdsl3-237.telecomunique.net.gt
98	30	214	1	85.50.148.68
97	30	167	1	213.60.45.185
97	37	106	1	84.76.104.72
97	24	63	1	84.77.159.59
97	42	197	1	87.218.21.140
96	30	139	1	80.26.10.229
96	34	152	1	kaimatara.idm.upv.es
94	29	165	1	201.230.183.152
94	27	147	1	83.41.215.11
94	30	166	1	83.61.224.217
94	28	144	1	85.84.47.81
94	31	175	1	88.5.93.107
92	42	237	0	dsl-189-162-107-22.prod-infinitum.com.mx
91	37	95	1	62.57.25.220
91	27	132	1	81.37.160.153
